,Dates,Cases
0,01/01/2017,24515
1,08/01/2017,27890
2,15/01/2017,34004
3,22/01/2017,35059
4,29/01/2017,40281
5,05/02/2017,31964
6,12/02/2017,35725
7,19/02/2017,36991
8,26/02/2017,44414
9,05/03/2017,34637
10,12/03/2017,32888
11,19/03/2017,40215
12,26/03/2017,54638
13,02/04/2017,33233
14,09/04/2017,36196
15,16/04/2017,40619
16,23/04/2017,43249
17,30/04/2017,34678
18,07/05/2017,32841
19,14/05/2017,37348
20,21/05/2017,36978
21,28/05/2017,36706
22,04/06/2017,32422
23,11/06/2017,34471
24,18/06/2017,35019
25,25/06/2017,35380
26,02/07/2017,32744
27,09/07/2017,32887
28,16/07/2017,34216
29,23/07/2017,32265
30,30/07/2017,32563
31,06/08/2017,28234
32,13/08/2017,28506
33,20/08/2017,31169
34,27/08/2017,29584
35,03/09/2017,31493
36,10/09/2017,34140
37,17/09/2017,31245
38,24/09/2017,25851
39,01/10/2017,29163
40,08/10/2017,33230
41,15/10/2017,21511
42,22/10/2017,31362
43,29/10/2017,29663
44,05/11/2017,31952
45,12/11/2017,31316
46,19/11/2017,30011
47,26/11/2017,27155
48,03/12/2017,30968
49,10/12/2017,33009
50,17/12/2017,30476
51,24/12/2017,26975
52,31/12/2017,33850
53,07/01/2018,33738
54,14/01/2018,34397
55,21/01/2018,30190
56,28/01/2018,36829
57,04/02/2018,38124
58,11/02/2018,35379
59,18/02/2018,37867
60,25/02/2018,33616
61,04/03/2018,44474
62,11/03/2018,43148
63,18/03/2018,41896
64,25/03/2018,36110
65,01/04/2018,53343
66,08/04/2018,46430
67,15/04/2018,44655
68,22/04/2018,43359
69,29/04/2018,43717
70,06/05/2018,45172
71,13/05/2018,47178
72,20/05/2018,47134
73,27/05/2018,44595
74,03/06/2018,45807
75,10/06/2018,40935
76,17/06/2018,46211
77,24/06/2018,42677
78,01/07/2018,46633
79,08/07/2018,43090
80,15/07/2018,42543
81,22/07/2018,39065
82,29/07/2018,40972
83,05/08/2018,40131
84,12/08/2018,33869
85,19/08/2018,36468
86,26/08/2018,37706
87,02/09/2018,39673
88,09/09/2018,42490
89,16/09/2018,37529
90,23/09/2018,42353
91,30/09/2018,43551
92,07/10/2018,42925
93,14/10/2018,32292
94,21/10/2018,40750
95,28/10/2018,40473
96,04/11/2018,25812
97,11/11/2018,43204
98,18/11/2018,36340
99,25/11/2018,42153
100,02/12/2018,40851
101,09/12/2018,40030
102,16/12/2018,38177
103,23/12/2018,34586
104,30/12/2018,42631
105,06/01/2019,46766
106,13/01/2019,42864
107,20/01/2019,40053
108,27/01/2019,45448
109,03/02/2019,48237
110,10/02/2019,48836
111,17/02/2019,47177
112,24/02/2019,48924
113,03/03/2019,46886
114,10/03/2019,52478
115,17/03/2019,41261
116,24/03/2019,54290
117,31/03/2019,56929
118,07/04/2019,49653
119,14/04/2019,45646
120,21/04/2019,52761
121,28/04/2019,51076
122,05/05/2019,49614
123,12/05/2019,49430
124,19/05/2019,50661
125,26/05/2019,46861
126,02/06/2019,43963
127,09/06/2019,51774
128,16/06/2019,49783
129,23/06/2019,48144
130,30/06/2019,49463
131,07/07/2019,46459
132,14/07/2019,49431
133,21/07/2019,46733
134,28/07/2019,43388
135,04/08/2019,41889
136,11/08/2019,33256
137,18/08/2019,44723
138,25/08/2019,46413
139,01/09/2019,46369
140,08/09/2019,43659
141,15/09/2019,49196
142,22/09/2019,46037
143,29/09/2019,43788
144,06/10/2019,38926
145,13/10/2019,50300
146,20/10/2019,42533
147,27/10/2019,33678
148,03/11/2019,46394
149,10/11/2019,43988
150,17/11/2019,44817
151,24/11/2019,44252
152,01/12/2019,46156
153,08/12/2019,42724
154,15/12/2019,42140
155,22/12/2019,35193
156,29/12/2019,40311
157,05/01/2020,43904
158,12/01/2020,40410
159,19/01/2020,47083
160,26/01/2020,45907
161,02/02/2020,51477
162,09/02/2020,51326
163,16/02/2020,50062
164,23/02/2020,53188
165,01/03/2020,53416
166,08/03/2020,40411
167,15/03/2020,50565
168,22/03/2020,18626
169,29/03/2020,17624
170,05/04/2020,16225
171,12/04/2020,19386
172,19/04/2020,21479
173,26/04/2020,22313
174,03/05/2020,25630
175,10/05/2020,28793
176,17/05/2020,28998
177,24/05/2020,29327
178,31/05/2020,36980
179,07/06/2020,37432
180,14/06/2020,35889
181,21/06/2020,35798
182,28/06/2020,35537
183,05/07/2020,33867
184,12/07/2020,31961
185,19/07/2020,28486
186,26/07/2020,26005
187,02/08/2020,26567
188,09/08/2020,25529
189,16/08/2020,30592
190,23/08/2020,30668
191,30/08/2020,32545
192,06/09/2020,32822
193,13/09/2020,32486
194,20/09/2020,31472
195,27/09/2020,31885
196,04/10/2020,36899
197,11/10/2020,35868
198,18/10/2020,33383
199,25/10/2020,29560
200,01/11/2020,39179
201,08/11/2020,31848
202,15/11/2020,31952
203,22/11/2020,33869
204,29/11/2020,36571
205,06/12/2020,37625
206,13/12/2020,40189
207,20/12/2020,36785
208,27/12/2020,40463
209,03/01/2021,47120
210,10/01/2021,40599
211,17/01/2021,43391
212,24/01/2021,38786
213,31/01/2021,48303
214,07/02/2021,47278
215,14/02/2021,47053
216,21/02/2021,46571
217,28/02/2021,52198
218,07/03/2021,44386
219,14/03/2021,49505
220,21/03/2021,44143
221,28/03/2021,35157
222,04/04/2021,42398
223,11/04/2021,31070
224,18/04/2021,24331
225,25/04/2021,19446
226,02/05/2021,19238
227,09/05/2021,17289
228,16/05/2021,21884
229,23/05/2021,25598
230,30/05/2021,34702
231,06/06/2021,38012
232,13/06/2021,41708
233,20/06/2021,43589
234,27/06/2021,48090
235,04/07/2021,49017
236,11/07/2021,47740
237,18/07/2021,41642
238,25/07/2021,44729
239,01/08/2021,50491
240,08/08/2021,47393
241,15/08/2021,43009
242,22/08/2021,45753
243,29/08/2021,46985
244,05/09/2021,45757
245,12/09/2021,46779
246,19/09/2021,48526
247,26/09/2021,45339
248,03/10/2021,48293
249,10/10/2021,36512
250,17/10/2021,43818
251,24/10/2021,43736
252,31/10/2021,30178
253,07/11/2021,42503
254,14/11/2021,40741
255,21/11/2021,44016
256,28/11/2021,42071
257,05/12/2021,40440
258,12/12/2021,39902
259,19/12/2021,34156
260,26/12/2021,32172
261,02/01/2022,23602
